Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN09719,2,0,0,3,Not Selected,0,Room_Type 1,16,2018,3,3,Online,0,0,0,84.33,0,Canceled
INN09720,2,0,0,1,Meal Plan 1,0,Room_Type 1,14,2018,5,27,Offline,0,0,0,73,0,Not_Canceled
INN09721,2,0,1,0,Meal Plan 1,0,Room_Type 1,286,2018,10,16,Offline,0,0,0,90,0,Canceled
INN09722,2,0,0,1,Meal Plan 1,0,Room_Type 1,92,2018,11,11,Offline,0,0,0,90,0,Not_Canceled
INN09723,1,0,0,2,Not Selected,0,Room_Type 1,21,2018,9,15,Online,0,0,0,139,2,Not_Canceled
INN09724,3,0,1,1,Meal Plan 1,0,Room_Type 4,35,2018,4,18,Online,0,0,0,137.7,2,Not_Canceled
INN09725,2,0,2,5,Meal Plan 1,0,Room_Type 1,245,2018,9,22,Online,0,0,0,107.59,0,Canceled
INN09726,2,0,0,3,Meal Plan 1,0,Room_Type 4,261,2018,10,13,Offline,0,0,0,90.95,2,Not_Canceled
INN09727,2,0,0,0,Meal Plan 1,0,Room_Type 4,3,2018,6,24,Online,0,0,0,0,0,Not_Canceled
INN09728,2,2,2,1,Meal Plan 1,1,Room_Type 6,153,2018,8,20,Online,0,0,0,186.3,2,Canceled
INN09729,2,0,0,2,Not Selected,0,Room_Type 1,77,2018,3,25,Offline,0,0,0,53.38,1,Not_Canceled
INN09730,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,2018,5,13,Offline,0,0,0,95,0,Canceled
INN09731,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Offline,0,0,0,130,0,Canceled
INN09732,2,2,1,3,Meal Plan 1,0,Room_Type 6,117,2018,8,11,Online,0,0,0,186.3,0,Canceled
INN09733,2,0,0,2,Meal Plan 2,0,Room_Type 1,104,2017,10,6,Offline,0,0,0,114,1,Canceled
INN09734,2,0,0,1,Meal Plan 1,0,Room_Type 1,12,2018,1,12,Online,0,0,0,69.6,0,Not_Canceled
INN09735,2,0,1,0,Meal Plan 1,0,Room_Type 1,27,2018,1,10,Online,0,0,0,89,1,Not_Canceled
INN09736,2,1,1,1,Meal Plan 1,0,Room_Type 1,31,2018,6,20,Offline,0,0,0,118.5,0,Not_Canceled
INN09737,2,0,0,1,Meal Plan 1,1,Room_Type 4,4,2018,11,19,Complementary,0,0,0,0,1,Not_Canceled
INN09738,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,1,5,Corporate,1,0,4,76,0,Not_Canceled
INN09739,3,0,1,5,Meal Plan 1,0,Room_Type 4,123,2018,9,20,Online,0,0,0,162,0,Canceled
INN09740,2,0,0,3,Meal Plan 1,0,Room_Type 1,271,2018,9,21,Offline,0,0,0,101.33,1,Canceled
INN09741,2,0,2,3,Meal Plan 1,0,Room_Type 1,108,2018,5,7,Online,0,0,0,74.54,0,Not_Canceled
INN09742,2,0,1,3,Meal Plan 1,0,Room_Type 1,2,2018,7,7,Online,0,0,0,160,1,Not_Canceled
INN09743,2,0,0,3,Not Selected,0,Room_Type 1,41,2018,3,15,Online,0,0,0,71.1,1,Not_Canceled
INN09744,1,0,0,1,Not Selected,0,Room_Type 1,196,2018,10,1,Online,0,0,0,93.6,1,Canceled
INN09745,2,0,1,0,Not Selected,0,Room_Type 1,14,2018,6,26,Online,0,0,0,89,0,Canceled
INN09746,2,0,0,3,Meal Plan 2,0,Room_Type 1,85,2017,9,30,Offline,0,0,0,125,0,Not_Canceled
INN09747,2,0,0,2,Not Selected,0,Room_Type 1,160,2018,8,4,Online,0,0,0,94.5,0,Canceled
INN09748,2,0,1,1,Meal Plan 1,0,Room_Type 1,7,2018,4,23,Online,0,0,0,131,2,Not_Canceled
INN09749,2,0,1,2,Meal Plan 1,0,Room_Type 6,91,2018,5,13,Online,0,0,0,198.9,0,Canceled
INN09750,2,0,1,1,Meal Plan 2,0,Room_Type 1,7,2017,10,5,Offline,0,0,0,112.2,0,Not_Canceled
INN09751,2,2,1,1,Meal Plan 1,0,Room_Type 6,44,2018,2,8,Online,0,0,0,173,0,Not_Canceled
INN09752,1,0,0,3,Meal Plan 1,0,Room_Type 1,15,2018,10,4,Offline,0,0,0,129,1,Not_Canceled
INN09753,2,0,1,3,Meal Plan 1,0,Room_Type 1,113,2018,4,25,Online,0,0,0,100.75,1,Not_Canceled
INN09754,2,2,1,1,Meal Plan 1,1,Room_Type 6,3,2017,8,10,Online,0,0,0,162,0,Not_Canceled
INN09755,2,0,2,2,Meal Plan 2,0,Room_Type 4,143,2018,7,16,Online,0,0,0,115.6,0,Not_Canceled
INN09756,2,0,1,0,Not Selected,0,Room_Type 1,38,2018,8,21,Online,0,0,0,125.1,0,Canceled
INN09757,2,0,0,2,Meal Plan 1,0,Room_Type 1,79,2017,11,13,Offline,0,0,0,75,0,Not_Canceled
INN09758,2,0,2,4,Meal Plan 1,0,Room_Type 4,88,2018,9,4,Online,0,0,0,149.4,0,Canceled
INN09759,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Offline,0,0,0,75,0,Canceled
INN09760,1,0,0,2,Meal Plan 1,0,Room_Type 1,99,2018,2,19,Corporate,0,0,0,81,0,Not_Canceled
INN09761,2,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Offline,0,0,0,115,1,Canceled
INN09762,2,0,0,2,Meal Plan 1,0,Room_Type 1,181,2018,8,30,Online,0,0,0,96.3,2,Canceled
INN09763,2,0,1,2,Not Selected,0,Room_Type 1,36,2018,10,28,Online,0,0,0,109,1,Not_Canceled
INN09764,2,0,1,1,Meal Plan 1,0,Room_Type 1,275,2018,6,4,Offline,0,0,0,62.8,0,Canceled
INN09765,2,0,2,0,Meal Plan 1,1,Room_Type 1,223,2017,10,4,Online,0,0,0,89.25,2,Not_Canceled
INN09766,2,0,1,2,Not Selected,0,Room_Type 1,115,2018,5,9,Online,0,0,0,94.5,0,Canceled
INN09767,2,0,1,2,Meal Plan 1,0,Room_Type 1,132,2018,10,7,Offline,0,0,0,89.76,0,Not_Canceled
INN09768,2,0,1,2,Meal Plan 1,0,Room_Type 1,39,2017,11,27,Online,0,0,0,96.3,2,Not_Canceled
INN09769,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,1,27,Complementary,1,0,1,0,0,Not_Canceled
INN09770,3,0,1,3,Meal Plan 1,0,Room_Type 1,35,2018,9,5,Online,0,0,0,110.16,0,Not_Canceled
INN09771,2,0,1,5,Meal Plan 1,0,Room_Type 1,349,2018,10,4,Offline,0,0,0,123.33,0,Canceled
INN09772,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105,0,Not_Canceled
INN09773,2,0,0,4,Meal Plan 1,0,Room_Type 1,176,2018,7,12,Online,0,0,0,90.95,0,Canceled
INN09774,2,0,0,4,Not Selected,0,Room_Type 1,113,2018,3,29,Online,0,0,0,55.63,0,Not_Canceled
INN09775,2,0,2,5,Meal Plan 1,0,Room_Type 1,224,2018,8,23,Online,0,0,0,90.95,1,Not_Canceled
INN09776,1,0,1,1,Meal Plan 1,0,Room_Type 1,5,2018,9,19,Corporate,1,0,2,65,1,Not_Canceled
INN09777,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Offline,0,0,0,101.5,0,Canceled
INN09778,2,0,0,3,Meal Plan 2,0,Room_Type 1,150,2018,6,16,Offline,0,0,0,90,1,Not_Canceled
INN09779,2,0,0,1,Meal Plan 1,0,Room_Type 1,43,2018,9,9,Online,0,0,0,135.9,2,Not_Canceled
INN09780,1,0,0,3,Not Selected,0,Room_Type 1,63,2018,2,16,Online,0,0,0,48.51,1,Not_Canceled
INN09781,1,0,2,2,Meal Plan 1,0,Room_Type 1,115,2018,2,27,Offline,0,0,0,76,0,Not_Canceled
INN09782,2,0,2,3,Not Selected,0,Room_Type 1,70,2018,12,22,Online,0,0,0,74.8,3,Not_Canceled
INN09783,2,1,0,1,Meal Plan 1,0,Room_Type 1,7,2018,10,27,Online,0,0,0,160,2,Not_Canceled
INN09784,2,0,0,2,Meal Plan 1,0,Room_Type 1,45,2018,12,2,Online,0,0,0,93.6,1,Not_Canceled
INN09785,2,0,1,1,Meal Plan 2,0,Room_Type 1,88,2017,10,5,Offline,0,0,0,112.2,0,Not_Canceled
INN09786,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,2017,10,15,Offline,0,0,0,100,0,Not_Canceled
INN09787,2,0,0,1,Meal Plan 1,0,Room_Type 1,105,2018,4,6,Offline,0,0,0,75,0,Canceled
INN09788,3,0,1,0,Meal Plan 1,1,Room_Type 4,54,2018,7,3,Online,0,0,0,159.3,2,Not_Canceled
INN09789,2,1,0,3,Meal Plan 1,0,Room_Type 1,100,2018,7,12,Online,0,0,0,106.03,1,Not_Canceled
INN09790,2,0,1,3,Meal Plan 1,1,Room_Type 1,96,2018,10,24,Online,0,0,0,100.13,3,Not_Canceled
INN09791,2,2,2,0,Meal Plan 1,0,Room_Type 6,14,2018,5,15,Online,0,0,0,211,2,Not_Canceled
INN09792,1,0,0,3,Meal Plan 1,0,Room_Type 1,143,2018,8,25,Offline,0,0,0,90,0,Not_Canceled
INN09793,2,0,0,2,Meal Plan 1,0,Room_Type 1,24,2018,1,6,Online,0,0,0,89,0,Not_Canceled
INN09794,2,0,1,2,Meal Plan 1,0,Room_Type 1,338,2018,10,7,Offline,0,0,0,80,0,Canceled
INN09795,3,0,1,2,Meal Plan 1,0,Room_Type 4,22,2018,7,8,Online,0,0,0,187,2,Not_Canceled
INN09796,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,2018,2,2,Complementary,0,0,0,0,0,Not_Canceled
INN09797,2,0,1,0,Not Selected,0,Room_Type 1,49,2018,7,11,Online,0,0,0,93.15,0,Canceled
INN09798,3,0,0,4,Meal Plan 1,0,Room_Type 4,199,2018,12,28,Online,0,0,0,120.7,1,Canceled
INN09799,2,0,2,4,Meal Plan 1,0,Room_Type 1,132,2018,7,22,Online,0,0,0,100.87,1,Not_Canceled
INN09800,2,0,2,0,Meal Plan 1,0,Room_Type 4,16,2018,2,28,Online,0,0,0,106,0,Canceled
INN09801,2,0,0,2,Not Selected,0,Room_Type 1,14,2018,2,12,Online,0,0,0,79,0,Not_Canceled
INN09802,1,0,1,2,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110,0,Not_Canceled
INN09803,2,0,0,3,Meal Plan 1,0,Room_Type 4,35,2018,6,9,Online,0,0,0,136.2,2,Not_Canceled
INN09804,2,0,0,3,Not Selected,0,Room_Type 1,22,2018,3,3,Online,0,0,0,84.33,0,Not_Canceled
INN09805,2,0,0,3,Meal Plan 1,1,Room_Type 1,65,2018,6,21,Online,0,0,0,99.9,0,Not_Canceled
INN09806,1,0,0,2,Meal Plan 1,0,Room_Type 1,64,2018,5,17,Corporate,0,0,0,130,0,Not_Canceled
INN09807,2,0,0,1,Meal Plan 1,0,Room_Type 1,43,2017,10,13,Offline,0,0,0,85,0,Not_Canceled
INN09808,2,0,2,1,Meal Plan 2,0,Room_Type 1,103,2017,7,18,Offline,0,0,0,94.5,0,Canceled
INN09809,1,0,0,3,Not Selected,0,Room_Type 1,41,2018,12,21,Online,0,0,0,79.2,1,Not_Canceled
INN09810,2,0,0,3,Not Selected,0,Room_Type 1,115,2017,7,30,Online,0,0,0,55.08,0,Canceled
INN09811,2,0,0,3,Meal Plan 1,0,Room_Type 1,271,2018,9,21,Offline,0,0,0,101.33,1,Canceled
INN09812,2,1,0,2,Meal Plan 1,0,Room_Type 4,74,2018,12,29,Online,0,0,0,117.73,1,Not_Canceled
INN09813,2,0,1,2,Meal Plan 1,0,Room_Type 1,302,2018,9,16,Offline,0,0,0,100,0,Canceled
INN09814,1,0,2,1,Meal Plan 1,0,Room_Type 1,93,2018,10,15,Offline,0,0,0,115,0,Canceled
INN09815,2,2,0,2,Meal Plan 1,0,Room_Type 6,0,2018,7,20,Online,0,0,0,206,0,Canceled
INN09816,2,0,2,2,Meal Plan 1,0,Room_Type 1,74,2018,4,1,Online,0,0,0,59.37,0,Not_Canceled
INN09817,2,0,0,3,Not Selected,0,Room_Type 1,20,2018,9,22,Online,0,0,0,134.1,1,Not_Canceled
INN09818,2,0,2,1,Meal Plan 1,0,Room_Type 1,166,2018,8,27,Online,0,0,0,96.3,0,Canceled
INN09819,2,0,1,1,Meal Plan 1,0,Room_Type 1,80,2018,12,5,Offline,0,0,0,75,1,Not_Canceled
INN09820,2,0,1,1,Not Selected,0,Room_Type 1,32,2018,2,6,Online,0,0,0,67.5,1,Canceled
INN09821,2,0,1,0,Meal Plan 1,0,Room_Type 1,19,2018,9,19,Offline,0,0,0,118.15,0,Canceled
INN09822,2,0,2,2,Meal Plan 1,0,Room_Type 1,179,2018,9,30,Online,0,0,0,113.4,0,Canceled
INN09823,2,0,0,2,Not Selected,0,Room_Type 1,6,2018,2,5,Online,0,0,0,81,0,Not_Canceled
INN09824,3,0,1,1,Meal Plan 1,0,Room_Type 4,35,2018,4,18,Online,0,0,0,128.7,2,Not_Canceled
INN09825,2,0,2,1,Meal Plan 1,0,Room_Type 1,99,2018,10,16,Online,0,0,0,118.8,1,Canceled
INN09826,2,0,0,3,Meal Plan 1,0,Room_Type 1,73,2017,11,24,Offline,0,0,0,85.67,0,Not_Canceled
INN09827,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,2018,3,25,Offline,0,0,0,130,0,Canceled
INN09828,2,0,0,3,Meal Plan 1,0,Room_Type 1,42,2018,11,23,Online,0,0,0,78.3,2,Not_Canceled
INN09829,1,0,1,0,Meal Plan 1,0,Room_Type 1,4,2017,10,12,Corporate,1,0,1,65,1,Not_Canceled
INN09830,1,0,0,1,Not Selected,0,Room_Type 1,2,2018,4,16,Online,0,0,0,89,1,Not_Canceled
INN09831,1,0,0,1,Meal Plan 1,0,Room_Type 1,15,2018,2,19,Corporate,0,0,0,81,0,Not_Canceled
INN09832,2,0,2,8,Meal Plan 1,0,Room_Type 1,61,2017,7,8,Online,0,0,0,68.85,0,Canceled
INN09833,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130,0,Canceled
INN09834,2,0,1,2,Meal Plan 1,0,Room_Type 1,91,2018,9,19,Offline,0,0,0,80.75,0,Not_Canceled
INN09835,2,0,2,1,Not Selected,0,Room_Type 1,4,2017,8,8,Online,0,0,0,80,1,Not_Canceled
INN09836,1,0,0,3,Meal Plan 2,0,Room_Type 1,1,2018,9,29,Corporate,0,0,0,118,0,Not_Canceled
INN09837,2,0,2,2,Not Selected,0,Room_Type 1,102,2018,10,30,Online,0,0,0,79.65,0,Canceled
INN09838,2,0,0,2,Meal Plan 1,0,Room_Type 1,110,2018,4,20,Online,0,0,0,72.8,0,Not_Canceled
INN09839,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75,0,Not_Canceled
INN09840,2,2,1,1,Meal Plan 1,0,Room_Type 7,50,2018,7,4,Online,0,0,0,260.9,0,Canceled
INN09841,2,0,2,5,Meal Plan 1,0,Room_Type 1,83,2018,3,18,Online,0,0,0,76.38,0,Canceled
INN09842,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130,0,Canceled
INN09843,2,0,2,1,Meal Plan 1,0,Room_Type 1,12,2017,8,29,Online,0,0,0,105,1,Not_Canceled
INN09844,2,0,1,4,Meal Plan 1,0,Room_Type 1,181,2018,8,3,Online,0,0,0,108.45,1,Canceled
INN09845,2,0,2,1,Meal Plan 1,0,Room_Type 1,282,2018,11,12,Offline,0,0,0,77,0,Not_Canceled
INN09846,1,0,0,2,Meal Plan 1,0,Room_Type 1,181,2018,10,11,Offline,0,0,0,120,0,Canceled
INN09847,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130,0,Canceled
INN09848,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,10,13,Complementary,0,0,0,0,1,Not_Canceled
INN09849,3,0,0,3,Meal Plan 1,0,Room_Type 4,142,2018,8,11,Online,0,0,0,146.7,0,Canceled
INN09850,2,0,1,1,Meal Plan 1,0,Room_Type 7,3,2017,10,12,Complementary,1,0,3,0,0,Not_Canceled
INN09851,1,0,0,3,Meal Plan 1,0,Room_Type 1,151,2018,1,19,Offline,0,0,0,71,0,Not_Canceled
INN09852,2,0,2,1,Meal Plan 2,0,Room_Type 1,110,2017,7,25,Offline,0,0,0,94.5,0,Canceled
INN09853,2,0,1,0,Meal Plan 1,0,Room_Type 1,258,2018,10,16,Offline,0,0,0,110,0,Canceled
INN09854,2,0,0,1,Not Selected,0,Room_Type 1,95,2018,4,14,Online,0,0,0,65.83,1,Not_Canceled
INN09855,2,0,0,1,Meal Plan 1,0,Room_Type 1,51,2018,10,6,Online,0,0,0,95.04,0,Canceled
INN09856,2,0,1,0,Meal Plan 1,0,Room_Type 1,286,2018,10,16,Offline,0,0,0,90,0,Canceled
INN09857,2,0,1,1,Meal Plan 1,0,Room_Type 1,12,2017,12,5,Offline,0,0,0,55,1,Not_Canceled
INN09858,2,0,2,3,Meal Plan 1,0,Room_Type 1,55,2018,11,24,Online,0,0,0,68.07,1,Not_Canceled
INN09859,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,2,9,Online,0,0,0,81,1,Canceled
INN09860,2,0,0,3,Meal Plan 1,0,Room_Type 1,2,2017,12,9,Offline,0,0,0,58,0,Not_Canceled
INN09861,2,0,0,1,Not Selected,0,Room_Type 1,11,2018,1,28,Online,0,0,0,62.83,1,Not_Canceled
INN09862,2,0,2,2,Meal Plan 1,0,Room_Type 1,30,2018,3,11,Offline,0,0,0,85,1,Not_Canceled
INN09863,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Offline,0,0,0,130,0,Canceled
INN09864,2,0,2,1,Meal Plan 1,0,Room_Type 1,5,2018,10,29,Online,0,0,0,146.67,0,Not_Canceled
INN09865,2,2,0,4,Meal Plan 1,0,Room_Type 6,0,2017,9,8,Online,0,0,0,195,1,Not_Canceled
INN09866,2,0,0,0,Meal Plan 2,0,Room_Type 4,0,2017,10,15,Online,0,0,0,0,0,Not_Canceled
INN09867,2,0,1,0,Meal Plan 1,0,Room_Type 5,151,2018,6,27,Offline,0,0,0,200,0,Canceled
INN09868,2,0,2,6,Meal Plan 1,0,Room_Type 1,99,2018,4,27,Offline,0,0,0,80.75,1,Not_Canceled
INN09869,2,0,2,2,Meal Plan 1,0,Room_Type 4,172,2018,10,28,Online,0,0,0,104.4,0,Canceled
INN09870,2,0,0,1,Meal Plan 2,0,Room_Type 1,219,2017,9,4,Offline,0,0,0,108,0,Canceled
INN09871,3,0,0,3,Meal Plan 1,0,Room_Type 4,49,2018,11,16,Online,0,0,0,126,2,Not_Canceled
INN09872,2,0,1,2,Meal Plan 1,0,Room_Type 2,11,2017,12,25,Online,0,0,0,80.41,0,Not_Canceled
INN09873,2,0,0,5,Meal Plan 1,0,Room_Type 1,5,2018,3,22,Online,0,0,0,129,0,Canceled
INN09874,2,0,1,1,Not Selected,0,Room_Type 1,134,2018,5,30,Online,0,0,0,94.5,0,Not_Canceled
INN09875,2,0,0,2,Meal Plan 1,0,Room_Type 2,23,2017,12,16,Online,0,0,0,81.75,1,Not_Canceled
INN09876,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130,0,Canceled
INN09877,1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2018,7,5,Offline,0,0,0,114.4,0,Not_Canceled
INN09878,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Offline,0,0,0,110,0,Canceled
INN09879,3,0,0,1,Meal Plan 1,0,Room_Type 4,50,2018,8,20,Online,0,0,0,177.3,2,Not_Canceled
INN09880,2,1,1,3,Meal Plan 1,0,Room_Type 1,57,2018,8,15,Online,0,0,0,152.1,0,Not_Canceled
INN09881,2,0,2,1,Not Selected,0,Room_Type 1,55,2018,5,21,Online,0,0,0,116.1,0,Canceled
INN09882,2,0,0,2,Meal Plan 1,0,Room_Type 1,6,2017,10,6,Online,0,0,0,145,2,Not_Canceled
INN09883,2,1,2,1,Meal Plan 1,0,Room_Type 1,6,2018,12,18,Online,0,0,0,116,2,Not_Canceled
INN09884,2,0,1,2,Meal Plan 1,0,Room_Type 1,80,2018,3,7,Online,0,0,0,78.3,1,Canceled
INN09885,2,0,0,4,Not Selected,0,Room_Type 1,33,2018,3,2,Online,0,0,0,73.1,0,Canceled
INN09886,2,0,2,3,Meal Plan 1,0,Room_Type 1,48,2018,11,6,Offline,0,0,0,75,0,Not_Canceled
INN09887,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95,0,Not_Canceled
INN09888,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,1,23,Online,0,0,0,85,0,Not_Canceled
INN09889,2,0,2,3,Meal Plan 1,0,Room_Type 1,212,2018,5,20,Offline,0,0,0,78,0,Not_Canceled
INN09890,2,0,0,2,Meal Plan 1,0,Room_Type 4,79,2018,5,13,Online,0,0,0,159.3,1,Canceled
INN09891,2,0,1,5,Meal Plan 1,0,Room_Type 1,20,2018,1,4,Offline,0,0,0,48.33,0,Not_Canceled
INN09892,2,0,0,1,Meal Plan 2,0,Room_Type 1,83,2017,9,30,Offline,0,0,0,112.2,0,Not_Canceled
INN09893,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61,0,Canceled
INN09894,2,0,2,2,Not Selected,0,Room_Type 1,128,2018,6,26,Online,0,0,0,80.75,1,Not_Canceled
INN09895,2,0,0,3,Meal Plan 2,0,Room_Type 1,1,2018,9,29,Corporate,0,0,0,146,0,Not_Canceled
INN09896,2,0,0,1,Not Selected,0,Room_Type 1,21,2018,9,7,Online,0,0,0,118,1,Not_Canceled
INN09897,2,0,0,4,Meal Plan 1,0,Room_Type 1,88,2018,4,27,Online,0,0,0,105.4,3,Not_Canceled
INN09898,2,0,1,1,Not Selected,0,Room_Type 1,3,2018,8,1,Online,0,0,0,109,1,Not_Canceled
INN09899,2,0,2,3,Meal Plan 1,0,Room_Type 1,192,2017,9,25,Offline,0,0,0,102,0,Canceled
INN09900,2,1,1,3,Meal Plan 1,0,Room_Type 1,207,2018,8,29,Online,0,0,0,123.25,1,Canceled
INN09901,1,0,1,0,Meal Plan 1,0,Room_Type 1,12,2018,6,20,Corporate,1,0,7,65,1,Not_Canceled
INN09902,2,0,0,3,Meal Plan 1,0,Room_Type 1,45,2017,10,22,Online,0,0,0,94.5,2,Not_Canceled
INN09903,1,0,0,1,Not Selected,0,Room_Type 1,36,2018,10,13,Online,0,0,0,102.6,0,Canceled
INN09904,1,0,0,4,Meal Plan 1,0,Room_Type 1,259,2018,12,7,Online,0,0,0,73.95,1,Not_Canceled
INN09905,3,0,0,1,Meal Plan 1,0,Room_Type 4,102,2018,12,6,Online,0,0,0,126,0,Not_Canceled
INN09906,2,0,1,2,Meal Plan 1,0,Room_Type 2,161,2018,4,22,Offline,0,0,0,80,0,Not_Canceled
INN09907,3,0,0,2,Meal Plan 1,0,Room_Type 4,15,2018,4,29,Online,0,0,0,177,0,Canceled
INN09908,2,0,1,2,Meal Plan 1,0,Room_Type 4,14,2018,6,3,Online,0,0,0,149.33,1,Not_Canceled
INN09909,2,0,1,3,Meal Plan 1,0,Room_Type 1,322,2018,5,19,Offline,0,0,0,80,0,Canceled
INN09910,1,0,0,1,Meal Plan 1,0,Room_Type 1,17,2018,10,6,Online,0,0,0,139,2,Not_Canceled
INN09911,1,0,2,2,Meal Plan 1,0,Room_Type 1,3,2018,9,25,Complementary,0,0,0,0,0,Not_Canceled
INN09912,2,0,0,2,Meal Plan 1,1,Room_Type 1,33,2018,3,24,Online,0,0,0,135.9,0,Not_Canceled
INN09913,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,2018,9,26,Offline,0,0,0,107,0,Canceled
INN09914,2,0,0,2,Meal Plan 1,0,Room_Type 1,16,2018,11,25,Offline,0,0,0,89,0,Not_Canceled
INN09915,1,0,0,2,Meal Plan 1,0,Room_Type 1,12,2017,10,20,Corporate,0,0,0,130,0,Not_Canceled
INN09916,2,0,0,1,Meal Plan 2,0,Room_Type 1,100,2017,10,16,Offline,0,0,0,108,0,Canceled
INN09917,2,0,0,1,Not Selected,0,Room_Type 1,2,2018,9,28,Online,0,0,0,0,1,Not_Canceled
INN09918,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,1,14,Corporate,0,0,0,66,0,Not_Canceled
INN09919,2,0,1,0,Not Selected,0,Room_Type 1,33,2018,5,16,Online,0,0,0,116.1,1,Not_Canceled
INN09920,1,0,2,1,Meal Plan 1,0,Room_Type 1,23,2018,3,12,Online,0,0,0,85.67,1,Canceled
INN09921,2,0,0,1,Meal Plan 1,0,Room_Type 2,19,2017,12,23,Online,0,0,0,77.25,1,Not_Canceled
INN09922,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130,0,Canceled
INN09923,2,1,1,2,Meal Plan 1,1,Room_Type 7,8,2018,12,30,Corporate,1,0,1,220,2,Not_Canceled
INN09924,2,0,0,3,Meal Plan 1,0,Room_Type 1,59,2018,3,2,Online,0,0,0,80.3,2,Not_Canceled
INN09925,2,0,0,3,Not Selected,0,Room_Type 1,35,2018,2,25,Online,0,0,0,70.03,1,Not_Canceled
INN09926,2,0,1,0,Meal Plan 1,0,Room_Type 1,4,2018,1,25,Corporate,0,0,0,64,0,Not_Canceled
INN09927,1,0,0,2,Meal Plan 1,0,Room_Type 4,1,2018,10,11,Aviation,1,0,1,110,0,Not_Canceled
INN09928,2,0,0,1,Meal Plan 1,0,Room_Type 4,5,2018,6,11,Online,0,0,0,136,1,Not_Canceled
INN09929,2,0,1,3,Not Selected,0,Room_Type 1,7,2018,2,8,Online,0,0,0,81,1,Not_Canceled
INN09930,2,0,2,2,Not Selected,0,Room_Type 1,18,2018,1,16,Online,0,0,0,65,0,Not_Canceled
INN09931,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,Offline,0,0,0,65,0,Canceled
INN09932,2,0,0,3,Meal Plan 1,0,Room_Type 1,104,2017,12,3,Offline,0,0,0,75,0,Not_Canceled
INN09933,2,0,1,2,Meal Plan 1,0,Room_Type 1,233,2018,10,14,Offline,0,0,0,90,0,Canceled
INN09934,2,0,1,3,Not Selected,0,Room_Type 1,16,2018,12,29,Online,0,0,0,91.8,0,Not_Canceled
INN09935,1,0,1,2,Meal Plan 1,0,Room_Type 1,45,2018,2,29,Online,0,0,0,76.3,0,Not_Canceled
INN09936,2,0,0,3,Meal Plan 1,0,Room_Type 4,67,2018,9,7,Online,0,0,0,114.34,1,Not_Canceled
INN09937,1,0,0,2,Meal Plan 1,0,Room_Type 1,6,2017,12,17,Corporate,1,0,4,65,0,Not_Canceled
INN09938,1,0,1,2,Meal Plan 1,0,Room_Type 4,60,2018,5,27,Online,0,0,0,140.4,0,Canceled
INN09939,2,0,1,2,Meal Plan 1,0,Room_Type 1,121,2018,6,24,Offline,0,0,0,90,0,Canceled
INN09940,2,0,0,2,Meal Plan 1,0,Room_Type 4,4,2018,6,10,Online,0,0,0,108.8,0,Canceled
INN09941,3,0,0,1,Meal Plan 1,0,Room_Type 4,95,2018,5,21,Online,0,0,0,159.3,0,Canceled
